pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time,signposted_as,reversed_signposted_as,bikes_prohibited
U1040P1,U1040N4,U1040N5,1,1,,E5 ul. Nádražní,,0
U1040P2,U1040N4,U1040N6,1,1,,E4 BUS Křížová,,0
U1040P4,U1040N4,U1040N8,1,1,,E2 - E3 ul. Za Ženskými domovy,,0
U1040P5,U1040N4,U1040N9,1,1,,E1 ul. Ostrovského,,0
U1040P6,U1040S1E1,U1040N9,2,1,,,,0
U1040P7,U1040S1E2,U1040N8,2,1,,,"E2 ul. Za Ženskými domovy, ul. Radlická",0
U1040P8,U1040S1E3,U1040N8,2,1,,,"E3 ul. Za Ženskými domovy, ul. Nádražní",0
U1040P9,U1040S1E4,U1040N6,2,1,,,,0
U1040P10,U1040S1E5,U1040N5,2,1,,,,0
U1040P11,U1040N14,U1040N10,4,1,95,,E1 - E5 BUS Terminal,0
U1040P12,U1040Z101P,U1040N10,1,1,,E1 - E5 BUS Terminál,,0
U1040P13,U1040Z102P,U1040N10,1,1,,E1 - E5 BUS Terminál,,0
U1040P14,U1040Z101P,U1040Z102P,1,1,,,,0
U1040P15,U1040N2,U1040Z101P,1,1,,,"E6 - E7 ul. Plzeňská, Lidická",0
U1040P16,U1040Z102P,U1040N2,1,1,,"E6 - E7 ul. Plzeňská, Lidická",,0
U1040P17,U1040N1,U1040N2,5,1,40,,E6 Výtah/Lift,0
U1040P18,U1040N1,U1040N13,1,1,,,,0
U1040P19,U1040S1E7,U1040N3,5,1,70,,,0
U1040P20,U1040N12,U1040N11,4,1,95,"Motol, Řepy, Radlice, Smíchov, Barrondov, Centrum, Dejvice",,0
U1040P21,U1040N2,U1040N11,1,1,,"E7 ul. Plzeňská, Lidická",,0
U1040P22,U1040N5,U1040S1E5,4,0,25,,,0
U1040P23,U1040N6,U1040S1E4,4,0,25,,,0
U157P1,U157Z101P,U157Z102P,1,1,,,,0
U157P2,U157Z102P,U157N3,1,1,,"Výtah, Lift",,0
